rid,rating
1,無
2,無
3,無
4,無
5,無
6,5.0
7,無
8,無
9,無
10,無
11,無
12,無
13,4.4
14,4.3
15,4.3
16,4.3
17,4.2
18,3.1
19,4.0
20,5.0
21,3.2
22,3.5
23,4.2
24,3.7
25,3.7
26,4.3
27,4.2
28,3.8
29,4.2
30,4.1
31,4.1
32,3.5
33,4.8
34,3.7
35,3.4
36,3.2
37,4.3
38,3.2
39,3.5
40,3.8
41,3.5
42,4.2
43,3.4
44,3.2
45,3.4
46,1.0
47,2.6
48,4.3
49,7.8/10
50,3.8
51,3.3
52,4.2
53,3.4
54,4.1
55,3.7
56,8.2/10
57,3.6
58,3.7
59,3.9
60,3.4
61,4.0
62,4.2
63,3.7
64,4.0
65,4.2
66,4.0
67,3.8
68,4.0
69,3.9
70,3.9
71,4.2
72,4.2
73,4.6
74,3.4
75,4.5
76,4.4
77,4.2
78,4.0
79,4.3
80,4.0
81,5.0
82,4.4
83,4.2
84,4.2
85,4.1
86,4.6
87,4.7
88,3.5
89,4.6
90,4.2
91,4.0
92,4.3
93,3.9
94,4.1
95,4.4
96,3.7
97,5.0
98,3.8
99,4.1
100,4.1
101,4.2
102,無
103,4.1
104,3.0
105,4.3
106,4.3
