編號,名稱,地區,地址,電話,營業時間
1,翰盟數位資訊社,Hsinchu,新竹市中華路2段327號1樓及2樓,02-27152218,24小時
2,民生瀚盟資訊社,Hsinchu,新竹市民生路166號及166之1號1樓,02-26752011,24小時
3,日盛網路奇艦店,Hsinchu,新竹市西大路121號及123號1樓及2樓,03-5342393,24小時
4,大樂科技資訊社,Hsinchu,新竹市武陵路78號及80號1樓,無,10:30-21:30
5,星良資訊社,Hsinchu,新竹市中華路4段576號1樓,無,24小時
6,順奕資訊社,Hsinchu,新竹市林森路219號,無,平日10:30-21:00周六10:30-18:00
7,玩家資訊社,Hsinchu,新竹市中華路2段349號及351號1樓及2樓,無,24小時
8,酷玩資訊館,Hsinchu,新竹市中華路3段2號1樓及2樓,無,24小時
9,台大醫院新竹分院按摩小站,Hsinchu,新竹市經國路一段442巷25號6樓,無,週一至週五上午8：30-下午5：00、週六上午8：30-下午2：30
10,馬偕醫院新竹分院按摩小站,Hsinchu,新竹市光復路二段690號2樓,無,週一至週五上午8：30-下午5：00
11,國軍新竹醫院按摩小站,Hsinchu,新竹市武陵路3號,無,週一至週五上午8：30-下午5：00
12,新竹國泰醫院按摩小站,Hsinchu,新竹市中華路2段678號二樓17診旁,無,週一三四五上午8：30-下午5：00週二六上午11：30-中午12：30
13,老夫子盲人按摩店,Hsinchu,新竹市東區中正里中正路323號一樓,03-5359128,下午13：00-晚上23：00
14,視障按摩達人館,Hsinchu,新竹市東門街158號,03-5232110,上午09：00-晚上24：00
15,老地方按摩店,Hsinchu,新竹市中正路108號一樓,03-5269477,下午13：00-晚上23：00
16,新竹國賓大飯店,Hsinchu,300新竹市東區中華路2段188號,03-5151111,24小時
17,新竹老爺大酒店,Hsinchu,300新竹市東區光復路1段227號,03-5631122,24小時
18,荷米斯飯店,Hsinchu,300新竹市北區西大路606號1-9樓,03-5269999,24小時
19,新苑庭園大飯店,Hsinchu,300新竹市東區大同路11號,03-5226868,24小時
20,心園商務旅館,Hsinchu,300新竹市東區民權路223號,03-5313525,24小時
21,微旅商務旅館,Hsinchu,300新竹市東區民生路268號,03-5323183,24小時
22,風之海岸旅館,Hsinchu,300新竹市北區尚濱路36號,03-5366095,24小時
23,豪美旅店,Hsinchu,300新竹市東區勝利路86號,03-5218441,24小時
24,棒球精緻旅店,Hsinchu,300新竹市北區西大路549號,03-5261172,24小時
25,紫晶汽車旅館,Hsinchu,300新竹市東區頂竹里東南街53巷18號,03-5620789,24小時
26,煙波大飯店-麗池館,Hsinchu,300新竹市東區明湖路773號1-6樓,03-5203181,24小時
27,煙波大飯店-溫莎館,Hsinchu,300新竹市東區明湖路775巷51號,03-5203181,24小時
28,普邑斯商務旅館,Hsinchu,300新竹市東區東區民權路193號,03-5428681,24小時
29,煙波大飯店-都會一館,Hsinchu,300新竹市東區民生路177號,03-6120000,24小時
30,卡爾登飯店,Hsinchu,300新竹市北區北大路225號,03-5259999,24小時
31,老爺旅社,Hsinchu,300新竹市東區光復路二段167號,03-5711585,24小時
32,金頓大飯店,Hsinchu,300新竹市東區光復路一段238號4-12樓,03-5646655,24小時
33,啊囉哈一六八汽車旅館,Hsinchu,300新竹市北區西濱路1段217號,03-5362277,24小時
34,左岸假期旅店,Hsinchu,300新竹市東區中華路二段502號,03-5284800,24小時
35,華泰大旅社,Hsinchu,300新竹市東區勝利路15號,03-5243145,24小時
36,東賓大旅社,Hsinchu,300新竹市東區林森路14號,03-5223161,24小時
37,金燕大飯店,Hsinchu,300新竹市東區民族路13號,03-5227151,24小時
38,柿子紅快捷旅店,Hsinchu,300新竹市東區大同路23巷5號,03-5223232,24小時
39,柏克萊大飯店,Hsinchu,300新竹市北區中正路151號,03-5251155,24小時
40,新寶大旅社,Hsinchu,300新竹市東區中南街46號,03-5229955,24小時
41,賓城大旅社,Hsinchu,300新竹市東區中正路13號5-10樓,03-5269255,24小時
42,迎曦大飯店(文化店),Hsinchu,300新竹市東區文化街10號1-8樓,03-5347266,24小時
43,芝蘭賓館,Hsinchu,300新竹市東區中華路二段480號,03-5254166,24小時
44,元首大飯店,Hsinchu,300新竹市東區建功一路29號,03-5711111,24小時
45,金座渡假汽車旅館,Hsinchu,300新竹市東區明湖路928-2及930號,03-5201833,24小時
46,新都旅館,Hsinchu,300新竹市東區中南街12號,03-5261131,24小時
47,國賓旅館,Hsinchu,300新竹市東區大同路21號,03-5243164,24小時
48,東城精品旅館,Hsinchu,300新竹市東區府後街5巷1號,03-5222648,24小時
49,約客旅?,Hsinchu,300新竹市北區東大路四段121號,03-5361122,24小時
50,合悅都會商旅,Hsinchu,300新竹市北區西大路417號,03-5234499,24小時
51,月圓汽車旅館,Hsinchu,300新竹市北區少年街88號,03-5231728,24小時
52,豪美旅店,Hsinchu,300新竹市北區中正路107號11樓,03-5213333,24小時
53,悅豪大飯店,Hsinchu,300新竹市東區復興路22號,03-5267890,24小時
54,新苑名流都會館,Hsinchu,300新竹市東區大同路20號,03-5211888,24小時
55,向日葵汽車旅館,Hsinchu,300新竹市北區經國路二段150號,03-5359797,24小時
56,日月光國際大飯店,Hsinchu,300新竹市東區中央路355巷16號1及3-6樓,03-5456363,24小時
57,湖山渡假汽車旅館,Hsinchu,300新竹市東區明湖路1001號,03-5203000,24小時
58,馬德里經典旅館,Hsinchu,300新竹市香山區中華路四段729號,03-5305533,24小時
59,水晶旅館有限公司,Hsinchu,300新竹市北區聖軍路75號,03-5366789,24小時
60,城市花園汽車旅館,Hsinchu,300新竹市北區東大路二段377號,03-5422989,24小時
61,薇閣精品旅館,Hsinchu,300新竹市北區中正路137號,03-5238080,24小時
62,福泰商務飯店,Hsinchu,300新竹市東區中央路106號B2及1樓及8-15樓,03-5212323,24小時
63,新竹日月光大飯店,Hsinchu,300新竹市香山區富群街3號,03-5296888,24小時
64,新竹福華大飯店,Hsinchu,300新竹市北區中正路178號,03-5282323,24小時
65,新竹英迪格酒店,Hsinchu,300新竹市東區公道五路2段111號,03-5169308,24小時
66,芙洛麗大飯店,Hsinchu,300新竹市東區民族路69號,03-6238899,24小時
67,明月大飯店,Hsinchu,300新竹市東區東門街128號,03-5281818,24小時
68,晶悅精品旅館,Hsinchu,300新竹市東區關新二街49號,03-6667567,24小時
69,歐遊國際精品旅館,Hsinchu,300新竹市東區埔頂路500號,03-5790088,24小時
70,金沙商務旅?,Hsinchu,300新竹市北區東濱街18號4樓,03-5368221,24小時
71,新舍商旅新竹館,Hsinchu,300新竹市北區西大路658號,03-5221082,24小時
