編號,名稱,地址,營業時間,電話
1,翰盟數位資訊社,新竹市中華路2段327號1樓及2樓,24小時,02-27152218
2,民生瀚盟資訊社,新竹市民生路166號及166之1號1樓,24小時,02-26752011
3,日盛網路奇艦店,新竹市西大路121號及123號1樓及2樓,24小時,03-5342393
4,大樂科技資訊社,新竹市武陵路78號及80號1樓,10:30-21:30,無
5,星良資訊社,新竹市中華路4段576號1樓,24小時,無
6,順奕資訊社,新竹市林森路219號,平日10:30-21:00周六10:30-18:00,無
7,玩家資訊社,新竹市中華路2段349號及351號1樓及2樓,24小時,無
8,酷玩資訊館,新竹市中華路3段2號1樓及2樓,24小時,無
9,台大醫院新竹分院按摩小站,新竹市經國路一段442巷25號6樓,週一至週五上午8：30-下午5：00、週六上午8：30-下午2：30,無
10,馬偕醫院新竹分院按摩小站,新竹市光復路二段690號2樓,週一至週五上午8：30-下午5：00,無
11,國軍新竹醫院按摩小站,新竹市武陵路3號,週一至週五上午8：30-下午5：00,無
12,新竹國泰醫院按摩小站,新竹市中華路2段678號二樓17診旁,週一三四五上午8：30-下午5：00週二六上午11：30-中午12：30,無
13,老夫子盲人按摩店,新竹市東區中正里中正路323號一樓,下午13：00-晚上23：00,03-5359128
14,視障按摩達人館,新竹市東門街158號,上午09：00-晚上24：00,03-5232110
15,老地方按摩店,新竹市中正路108號一樓,下午13：00-晚上23：00,03-5269477
16,新竹國賓大飯店,300新竹市東區中華路2段188號,24小時,03-5151111
17,新竹老爺大酒店,300新竹市東區光復路1段227號,24小時,03-5631122
18,荷米斯飯店,300新竹市北區西大路606號1-9樓,24小時,03-5269999
19,新苑庭園大飯店,300新竹市東區大同路11號,24小時,03-5226868
20,心園商務旅館,300新竹市東區民權路223號,24小時,03-5313525
21,微旅商務旅館,300新竹市東區民生路268號,24小時,03-5323183
22,風之海岸旅館,300新竹市北區尚濱路36號,24小時,03-5366095
23,豪美旅店,300新竹市東區勝利路86號,24小時,03-5218441
24,棒球精緻旅店,300新竹市北區西大路549號,24小時,03-5261172
25,紫晶汽車旅館,300新竹市東區頂竹里東南街53巷18號,24小時,03-5620789
26,煙波大飯店-麗池館,300新竹市東區明湖路773號1-6樓,24小時,03-5203181
27,煙波大飯店-溫莎館,300新竹市東區明湖路775巷51號,24小時,03-5203181
28,普邑斯商務旅館,300新竹市東區東區民權路193號,24小時,03-5428681
29,煙波大飯店-都會一館,300新竹市東區民生路177號,24小時,03-6120000
30,卡爾登飯店,300新竹市北區北大路225號,24小時,03-5259999
31,老爺旅社,300新竹市東區光復路二段167號,24小時,03-5711585
32,金頓大飯店,300新竹市東區光復路一段238號4-12樓,24小時,03-5646655
33,啊囉哈一六八汽車旅館,300新竹市北區西濱路1段217號,24小時,03-5362277
34,左岸假期旅店,300新竹市東區中華路二段502號,24小時,03-5284800
35,華泰大旅社,300新竹市東區勝利路15號,24小時,03-5243145
36,東賓大旅社,300新竹市東區林森路14號,24小時,03-5223161
37,金燕大飯店,300新竹市東區民族路13號,24小時,03-5227151
38,柿子紅快捷旅店,300新竹市東區大同路23巷5號,24小時,03-5223232
39,柏克萊大飯店,300新竹市北區中正路151號,24小時,03-5251155
40,新寶大旅社,300新竹市東區中南街46號,24小時,03-5229955
41,賓城大旅社,300新竹市東區中正路13號5-10樓,24小時,03-5269255
42,迎曦大飯店(文化店),300新竹市東區文化街10號1-8樓,24小時,03-5347266
43,芝蘭賓館,300新竹市東區中華路二段480號,24小時,03-5254166
44,元首大飯店,300新竹市東區建功一路29號,24小時,03-5711111
45,金座渡假汽車旅館,300新竹市東區明湖路928-2及930號,24小時,03-5201833
